見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「泉茂－ハンサムな絵のつくりかた」,展示,～3月26日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－春 特集「群像－交錯する声」,展示,～5月7日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670　,073-423-2467 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「有田川中流域の仏教文化－重要文化財・安楽寺多宝小塔修理完成記念－」,展示,～3月5日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,冬期企画展「きのくにの弥生文化～後期社会の変革～」,展示,～2月19日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて!!ヤマゲン先生(5)万葉歌と古代の草木花ガイド,イベント,2月26日10:00～12:00,,小学生以上,30人（先着順）,,2月10日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,古墳ガイドツアー(3),イベント,3月19日13:30～15:30,,小学生以上,30人（先着順）,,3月3日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,冬鳥さよなら探鳥会,イベント,3月11日8:00～11:00,雨の森（海南市）,小学生以上（小学生は保護者同伴）,30人（抽選）,,2月25日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,恐竜をさがせ!!,イベント,3月12日10:00～13:00,白木海岸（広川町）,小学生以上（小学生は保護者同伴）,100人（抽選）,,2月26日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,早春の洋ラン展,展示,2月10～12日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,洋ランの育て方教室,イベント,2月11日13:30～,,,36人（先着順）,300円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,2月の寄せ植え教室,イベント,2月12日13:30～,,,39人（先着順）,"1,800円",事前申込,入場無料
